timestamp,dataset,model,rmse,mae,sample_size,precision@5,recall@5,ndcg@5,mrr@5,f1@5,precision@10,recall@10,ndcg@10,mrr@10,f1@10,precision@20,recall@20,ndcg@20,mrr@20,f1@20,evaluated_users,eligible_users
2026-05-25 17:44:08,MovieLens-100K,Hybrid CASM-CF + Matrix Factorization,0.9061308187698526,0.719524250254501,1000,0.044,0.0135530817064835,0.0556922670112704,0.1406666666666666,0.0187545439627115,0.034,0.0237623169157187,0.0481132822945514,0.1560238095238095,0.0242281873146946,0.033,0.0471987868785044,0.0534603732425649,0.1612934740697898,0.0335610737500801,50,
2026-05-25 17:50:31,MovieLens-100K,Hybrid CASM-CF + Matrix Factorization,0.9061308187698526,0.719524250254501,1000,0.044,0.0135530817064835,0.0556922670112704,0.1406666666666666,0.0187545439627115,0.034,0.0237623169157187,0.0481132822945514,0.1560238095238095,0.0242281873146946,0.033,0.0471987868785044,0.0534603732425649,0.1612934740697898,0.0335610737500801,50,
2026-05-25 18:16:15,MovieLens-100K,Hybrid CASM-CF + Matrix Factorization,0.9061308187698526,0.719524250254501,1000,0.044,0.0135530817064835,0.0556922670112704,0.1406666666666666,0.0187545439627115,0.034,0.0237623169157187,0.0481132822945514,0.1560238095238095,0.0242281873146946,0.033,0.0471987868785044,0.0534603732425649,0.1612934740697898,0.0335610737500801,50,
2026-05-25 18:39:17,MovieLens-1M,Hybrid CASM-CF + Matrix Factorization,0.8974390937584205,0.7124023700680666,2000,0.02,0.0205989159891598,0.0261001032041003,0.054,0.016767425810904,0.01,0.0205989159891598,0.0222162580073701,0.054,0.0110700280112044,0.01,0.0255910812313251,0.0236792796763703,0.060688995215311,0.0115660815415776,50,
2026-05-25 19:18:51,MovieLens-100K,Hybrid CASM-CF + Matrix Factorization,0.9061308187698526,0.719524250254501,1000,0.044,0.0135530817064835,0.0556922670112704,0.1406666666666666,0.0187545439627115,0.034,0.0237623169157187,0.0481132822945514,0.1560238095238095,0.0242281873146946,0.033,0.0471987868785044,0.0534603732425649,0.1612934740697898,0.0335610737500801,50,
2026-05-25 19:40:47,MovieLens-1M,Hybrid CASM-CF + Matrix Factorization,0.8974390937584205,0.7124023700680666,2000,0.02,0.0205989159891598,0.0261001032041003,0.054,0.016767425810904,0.01,0.0205989159891598,0.0222162580073701,0.054,0.0110700280112044,0.01,0.0255910812313251,0.0236792796763703,0.060688995215311,0.0115660815415776,50,
2026-05-25 20:07:54,MovieLens-10M,Hybrid CASM-CF + Matrix Factorization,0.9180694396788938,0.7099357005481354,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,
2026-05-25 20:20:13,MovieLens-10M,Hybrid CASM-CF + Matrix Factorization,0.9180694396788938,0.7099357005481354,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,
2026-05-25 20:34:41,MovieLens-10M,Hybrid CASM-CF + Matrix Factorization,0.9180694396788938,0.7099357005481354,1000,0.06,0.1654761904761904,0.1601083355763847,0.2083333333333333,0.0793290043290043,0.065,0.3380952380952381,0.2200701789390458,0.2341666666666667,0.0998440285204991,0.0475,0.469047619047619,0.2600732594841623,0.2445254255548373,0.0816409033800338,20,17120.0
2026-05-25 20:47:18,MovieLens-100K,Hybrid CASM-CF + Matrix Factorization,0.9061308187698526,0.719524250254501,1000,0.108,0.0424346682414718,0.1248310873358094,0.2166666666666666,0.0517412131891873,0.108,0.0778809608877189,0.1268775139097516,0.2343253968253968,0.0767044904418767,0.107,0.163327601821086,0.1505790451067447,0.245959407809253,0.1063002702939777,50,920.0
2026-05-25 21:14:29,MovieLens-1M,Hybrid CASM-CF + Matrix Factorization,0.8974390937584205,0.7124023700680666,2000,0.2239999999999999,0.0787679673518796,0.2232975997192014,0.3463333333333332,0.1002346928000689,0.2019999999999999,0.1471116324219598,0.2207651928601284,0.3660158730158729,0.1433127338690919,0.172,0.2397473668394119,0.2362179985294454,0.3739948107448106,0.1701270595809489,50,5994.0
2026-05-25 21:22:46,MovieLens-10M,Hybrid CASM-CF + Matrix Factorization,0.9180694396788938,0.7099357005481354,1000,0.06,0.16547619047619047,0.16010833557638474,0.20833333333333331,0.07932900432900433,0.06500000000000002,0.3380952380952381,0.2200701789390458,0.23416666666666672,0.09984402852049913,0.04750000000000001,0.46904761904761905,0.2600732594841623,0.24452542555483733,0.0816409033800338,20,17120.0
